Company Name,Tag Line,Rating,Review Count,Website,Profile Url,Logo Url,Is Verified,Min Project Size,Hourly Rate,Employee Count,Location,Service Focus Percentages,Origin Search Url
Sopra Steria,,,,https://www.soprasteria.com/,https://www.soprasteria.com/en/contact,,,,,,"6 Avenue Kleber, 75116 Paris, France",,
Devoteam,,,,https://www.devoteam.com/,https://www.devoteam.com/contact/,,,,,,"73 Rue Anatole France, 92300 Levallois-Perret, France",,
Indra (Minsait),,,,https://www.indracompany.com/,https://www.indracompany.com/en/contact-us,,,,,,"Avenida de Bruselas, 35, Alcobendas, 28108 Madrid, Spain",,
Leidos,,,,https://www.leidos.com/,https://www.leidos.com/company/global/locations,,,,,,"1750 Presidents St, Reston, VA 20190, USA",,
LTIMindtree,,,,https://www.ltimindtree.com/,https://www.ltimindtree.com/get-in-touch/,,,,,,"L&T Business Park, Gate 5, Saki Vihar Rd, Mumbai 400072, India",,
Hexaware Technologies,,,,https://www.hexaware.com/,https://hexaware.com/contact-us/,,,,,,"152, Millennium Business Park, Navi Mumbai 400710, India",,
Coforge,,,,https://www.coforge.com/,https://www.coforge.com/contact-us/,,,,,,"8 Balaji Estate, Guru Ravi Das Marg, Kalkaji, New Delhi 110019, India",,
TPx Communications,,,,https://www.tpx.com/,https://www.tpx.com/contact-us/,,,,,,"515 S Flower St, 45th Floor, Los Angeles, CA 90071, USA",,
Agilant Solutions,,,,https://www.goagilant.com/,https://www.goagilant.com/contact/,,,,,,"3 Seaview Blvd, Port Washington, NY 11050, USA",,
Abacus Group,,,,https://abacus.co/,https://abacus.co/contact/,,,,,,"655 Third Avenue, 8th Floor, New York, NY 10017, USA",,
Advizex,,,,https://advizex.com/,https://advizex.com/contact/,,,,,,"6480 Rockside Woods Blvd S, Suite 190, Cleveland, OH 44131, USA",,
Accucode,,,,https://www.accucode.com/,https://www.accucode.com/contact/,,,,,,"6886 S Yosemite St, Centennial, CO 80112, USA",,
ePlus,,,,https://www.eplus.com/,https://www.eplus.com/about/contact-us/,,,,,,"13595 Dulles Technology Dr, Herndon, VA 20171, USA",,
Thrive,,,,https://thrivenextgen.com/,https://thrivenextgen.com/contact-us/,,,,,,"500 Totten Pond Rd, 6th Floor, Waltham, MA 02451, USA",,
GreenPages,,,,https://www.greenpages.com/,https://www.greenpages.com/contact-us/,,,,,,"33 Badgers Is, Portsmouth, NH 03801, USA",,
Converge Technology Solutions,,,,https://convergetp.com/,https://convergetp.com/contact/,,,,,,"161 Bay St, Suite 2325, Toronto, ON M5J 2S1, Canada",,
Crayon Group,,,,https://www.crayon.com/,https://www.crayon.com/en/contact-us/,,,,,,"Karenslyst Allé 2, 0278 Oslo, Norway",,
Hitachi Vantara,,,,https://www.hitachivantara.com/,https://www.hitachivantara.com/en-us/company/contact-us.html,,,,,,"2535 Augustine Dr, Santa Clara, CA 95054, USA",,
Unisys,,,,https://www.unisys.com/,https://www.unisys.com/contact-us/,,,,,,"801 Lakeview Dr, Suite 100, Blue Bell, PA 19422, USA",,
Xerox IT Services,,,,https://www.xerox.com/,https://www.xerox.com/en-us/contact,,,,,,"201 Merritt 7, Norwalk, CT 06851, USA",,
Ricoh (IT Services),,,,https://www.ricoh-usa.com/,https://www.ricoh-usa.com/en/contact-us,,,,,,"300 Eagleview Blvd, Exton, PA 19341, USA",,
Mphasis,,,,https://www.mphasis.com/,https://www.mphasis.com/contact.html,,,,,,"460 Park Ave South, Suite 1101, New York, NY 10016, USA",,
T-Systems,,,,https://www.t-systems.com/,https://www.t-systems.com/us/en/contact,,,,,,"Hahnstraße 43d, 60528 Frankfurt am Main, Germany",,
Cancom,,,,https://www.cancom.com/,https://www.cancom.com/contact/,,,,,,"Erika-Mann-Str. 69, 80636 Munich, Germany",,
Bechtle,,,,https://www.bechtle.com/,https://www.bechtle.com/de-en/contact,,,,,,"Bechtle Platz 1, 74172 Neckarsulm, Germany",,
Daisy Group,,,,https://daisygroup.com/,https://daisygroup.com/contact/,,,,,,"Lindred Rd Business Park, Nelson BB9 5SR, United Kingdom",,
Node4,,,,https://www.node4.co.uk/,https://www.node4.co.uk/contact-us/,,,,,,"Saxon House, Heritage Gateway, Derby DE1 1NL, United Kingdom",,
Six Degrees Group,,,,https://www.6dg.co.uk/,https://www.6dg.co.uk/contact-us/,,,,,,"Cornwall House, 55 New Oxford St, London WC1A 1BS, United Kingdom",,
Ordina,,,,https://www.ordina.com/,https://www.ordina.com/contact/,,,,,,"Ringwade 1, 3439 LM Nieuwegein, Netherlands",,
Econocom,,,,https://www.econocom.com/,https://www.econocom.com/en/contact-us,,,,,,"BNF Richelieu, 5 Rue Marcelin Berthelot, 92100 Boulogne-Billancourt, France",,
Emtec,,,,https://www.emtecinc.com/,https://www.emtecinc.com/contact/,,,,,,"100 Matsonford Rd, Building 5, Radnor, PA 19087, USA",,
MGT Consulting,,,,https://www.mgtconsulting.com/,https://www.mgtconsulting.com/contact/,,,,,,"100 E Pine St, Suite 1100, Orlando, FL 32801, USA",,
BBH Solutions,,,,https://www.bbhinc.com/,https://www.bbhinc.com/contact/,,,,,,"521 5th Avenue, 17th Floor, New York, NY 10175, USA",,
MRE Consulting,,,,https://www.mre-consulting.com/,https://www.mre-consulting.com/contact/,,,,,,"1300 Post Oak Blvd, Suite 2000, Houston, TX 77056, USA",,
DSI Tech,,,,https://www.dsitech.com/,https://www.dsitech.com/contact-us/,,,,,,"3901 Stonecroft Blvd, Chantilly, VA 20151, USA",,
phoenixNAP,,,,https://phoenixnap.com/,https://phoenixnap.com/company/contact,,,,,,"3402 E University Dr, Phoenix, AZ 85034, USA",,
Park Place Technologies,,,,https://www.parkplacetechnologies.com/,https://www.parkplacetechnologies.com/contact/,,,,,,"5910 Landerbrook Dr, Cleveland, OH 44124, USA",,
Atmosera,,,,https://www.atmosera.com/,https://www.atmosera.com/contact/,,,,,,"9705 SW Sunshine Ct, Beaverton, OR 97005, USA",,
Stefanini,,,,https://stefanini.com/,https://stefanini.com/en/contact-us,,,,,,"27100 W 11 Mile Rd, Southfield, MI 48034, USA",,
Zensar Technologies,,,,https://www.zensar.com/,https://www.zensar.com/contact-us,,,,,,"8045 E Chapman Ave, Suite 230, Orange, CA 92869, USA",,
Air IT,,,,https://www.airit.co.uk/,https://www.airit.co.uk/contact-us/,,,,,,"6 Edison Village, Nottingham Science Park, Nottingham NG7 2RF, United Kingdom",,
Nasstar,,,,https://www.nasstar.com/,https://www.nasstar.com/contact-us/,,,,,,"Datapoint House, 400 Thames Valley Park Dr, Reading RG6 1PT, United Kingdom",,
Masergy,,,,https://www.masergy.com/,https://www.masergy.com/contact,,,,,,"2740 North Dallas Parkway, Plano, TX 75093, USA",,
Verizon Business,,,,https://www.verizon.com/business/,https://www.verizon.com/business/contact-us/,,,,,,"1095 Avenue of the Americas, New York, NY 10036, USA",,
AT&T Business,,,,https://business.att.com/,https://www.business.att.com/learn/operational-support/contact-us.html,,,,,,"208 S Akard St, Dallas, TX 75202, USA",,
Bell Canada,,,,https://business.bell.ca/,https://business.bell.ca/shop/enterprise/contact-us,,,,,,"1 Carrefour Alexander-Graham-Bell, Verdun, QC H3E 3B3, Canada",,
Telus,,,,https://www.telus.com/,https://business.telus.com/en/business/on/contact-us,,,,,,"510 W Georgia St, Vancouver, BC V6B 0M3, Canada",,
Lumen Technologies,,,,https://www.lumen.com/,https://www.lumen.com/en-us/contact-us.html,,,,,,"100 CenturyLink Dr, Monroe, LA 71203, USA",,
Netrix,,,,https://netrixllc.com/,https://netrixllc.com/contact/,,,,,,"444 W Lake St, Suite 1700, Chicago, IL 60606, USA",,
LightEdge Solutions,,,,https://www.lightedge.com/,https://www.lightedge.com/contact-us/,,,,,,"909 Walnut St, Suite 700, Kansas City, MO 64106, USA",,
Dataprise,,,,https://www.dataprise.com/,https://www.dataprise.com/get-in-touch/,,,,,,"9600 Blackwell Rd, Rockville, MD 20850, USA",,
Applied Tech,,,,https://www.appliedtech.us/,https://www.appliedtech.us/contact-us/,,,,,,"6662 Ronald Reagan Ave, Madison, WI 53704, USA",,
Accenture,,,,https://www.accenture.com/,https://www.accenture.com/us-en/contact,,,,,,"30 Fenchurch Street, London EC3M 3BD, United Kingdom",,
C1 (ConvergeOne),,,,https://www.convergeone.com/,contactus@convergeone.com,,,,,,"10900 Nesbitt Ave S, Bloomington, MN 55437, USA",,
Logicalis,,,,https://www.logicalis.com/,info@logicalis.com,,,,,,"Maidenhead, Berkshire SL6 3UD, United Kingdom",,
HCLTech,,,,https://www.hcltech.com/,https://www.hcltech.com/contact-us,,,,,,Noida,,
AHEAD,,,,https://www.ahead.com/,https://www.ahead.com/contact/,,,,,,Chicago,,
Computacenter,,,,https://www.computacenter.com/,https://www.computacenter.com/contact-us,,,,,,"Hatfield, Hertfordshire, United Kingdom",,
Brennan,,,,https://www.brennanit.com.au/,sayhello@brennanit.com.au,,,,,,Sydney,,
DATAGROUP,,,,https://www.datagroup.de/,https://www.datagroup.de/kontakt/,,,,,,Pliezhausen,,
Tietoevry,,,,https://www.tietoevry.com/,https://www.tietoevry.com/en/contact/,,,,,,Espoo,,
Cegeka,,,,https://www.cegeka.com/,https://www.cegeka.com/en/be/contact/,,,,,,Hasselt,,
Ayesa,,,,https://www.ayesa.com/,https://www.ayesa.com/en/contact/,,,,,,Seville,,
Axians,,,,https://www.axians.com/,https://www.axians.com/contact/,,,,,,Paris,,
Datacom Systems,,,,https://www.datacom.com/,https://www.datacom.com/contact-us/,,,,,,Auckland,,
Koesio,,,,https://www.koesio.com/,https://www.koesio.com/en/contact-us/,,,,,,Limoges,,
Compugen,,,,https://www.compugen.com/,https://www.compugen.com/en/contact-us/,,,,,,Richmond Hill,,
Advania,,,,https://www.advania.com/,https://www.advania.com/contact/,,,,,,Stockholm,,
Infosys,,,,https://www.infosys.com/,https://www.infosys.com/contact/,,,,,,Bengaluru,,
Dataprise,,,,https://dataprise.com,,,,,,,,,
Applied Tech,,,,https://appliedtech.us,,,,,,,,,
ZAG Technical Services,,,,https://zagtech.com,,,,,,,,,
eGroup (Enabling Technologies),,,,https://egroup-us.com,,,,,,,,,
Managed Solution,,,,https://managedsolution.com,,,,,,,,,
Arctic IT,,,,https://arcticit.com,,,,,,,,,
Corsica Technologies,,,,https://corsicatech.com,,,,,,,,,
NetGain Technologies,,,,https://netgainit.com,,,,,,,,,
IT Solutions Consulting,,,,https://itsolutions-inc.com,,,,,,,,,
NexusTek,,,,https://nexustek.com,,,,,,,,,
Centre Technologies,,,,https://centretechnologies.com,,,,,,,,,
R2 Unified Technologies,,,,https://r2ut.com,,,,,,,,,
centrexIT,,,,https://centrexit.com,,,,,,,,,
"Synoptek, Inc.",,,,https://synoptek.com,,,,,,,,,
iVenture Solutions,,,,https://iventuresolutions.com,,,,,,,,,
Right! Systems Inc.,,,,https://rightsys.com,,,,,,,,,
Ascend Technologies,,,,https://teamascend.com,,,,,,,,,
CCB Technology,,,,https://ccbtechnology.com,,,,,,,,,
"Logically, Inc.",,,,https://logically.com,,,,,,,,,
Intelligent Technical Solutions (ITS),,,,https://itsasap.com,,,,,,,,,
"Imagine IT, Inc.",,,,https://imit.com,,,,,,,,,
Nexigen,,,,https://nexigen.com,,,,,,,,,
ERGOS Technology Partners,,,,https://ergos.com,,,,,,,,,
Magna5,,,,https://magna5.com,,,,,,,,,
Mainstay Technologies,,,,https://mstech.com,,,,,,,,,
Intech Hawaii,,,,https://intech-hawaii.com,,,,,,,,,
"WAMS, Inc.",,,,https://wamsinc.com,,,,,,,,,
Exigent Technologies LLC,,,,https://exigent.net,,,,,,,,,
Network Coverage,,,,https://netcov.com,,,,,,,,,
Bit by Bit Computer Consultants,,,,https://bitxbit.com,,,,,,,,,
BlackPoint IT Services,,,,https://blackpoint-it.com,,,,,,,,,
"WCA Technologies, Inc.",,,,https://wcatech.com,,,,,,,,,
Medicus IT,,,,https://medicusit.com,,,,,,,,,
Waident Technology Solutions,,,,https://waident.com,,,,,,,,,
Prototype:IT,,,,https://prototypeit.net,,,,,,,,,
Executech,,,,https://executech.com,,,,,,,,,
NetEffect,,,,https://neteffect.com,,,,,,,,,
MIS Solutions,,,,https://mis-solutions.com,,,,,,,,,
XPERTECHS,,,,https://xpertechs.com,,,,,,,,,
Fuse Networks,,,,https://fusenetworks.com,,,,,,,,,
TechMD,,,,https://techmd.com,,,,,,,,,
Responsive Technology Partners,,,,https://responsivetechnologypartners.com,,,,,,,,,
Astute Technology Management,,,,https://astutetm.com,,,,,,,,,
Mindsight,,,,https://gomindsight.com,,,,,,,,,
The Scarlett Group,,,,https://scarlettgroup.com,,,,,,,,,
Total Networks,,,,https://totalnetworks.com,,,,,,,,,
DataPerk,,,,https://dataperk.com,,,,,,,,,
Integris,,,,https://integrisit.com,,,,,,,,,
Strategic Technology Solutions,,,,https://stspartner.com,,,,,,,,,
Bellwether Technology,,,,https://belltec.com,,,,,,,,,
CTG Tech,,,,https://ctgmanagedit.com,,,,,,,,,
Nexus IT Consultants,,,,https://nexusitc.net,,,,,,,,,
ETC TechSolutions,,,,https://etctech.net,,,,,,,,,
Valiant Technology,,,,https://thevaliantway.com,,,,,,,,,
Proven IT,,,,https://provenit.com,,,,,,,,,
Isogent,,,,https://isogent.com,,,,,,,,,
Kelser Corporation,,,,https://kelsercorp.com,,,,,,,,,
VC3,,,,https://vc3.com,,,,,,,,,
OSIbeyond,,,,https://osibeyond.com,,,,,,,,,
Charles IT,,,,https://charlesit.com,,,,,,,,,
"Net Friends, Inc.",,,,https://netfriends.com,,,,,,,,,
US Resources,,,,https://usresources.com,,,,,,,,,
CloudWave,,,,https://gocloudwave.com,,,,,,,,,
Endurance IT Services,,,,https://endurance-it.com,,,,,,,,,
"RESULTS Technology, Inc.",,,,https://resultstechnology.com,,,,,,,,,
"Parachute Technology, Inc.",,,,https://parachute.cloud,,,,,,,,,
Network 1 Consulting,,,,https://network1consulting.com,,,,,,,,,
The AME Group,,,,https://theamegroup.com,,,,,,,,,
Xperteks,,,,https://xperteks.com,,,,,,,,,
Central Texas Technology Solutions,,,,https://cttsonline.com,,,,,,,,,
Techmedics,,,,https://techmedics.com,,,,,,,,,
Andromeda Technology Solutions,,,,https://andromeda-tech-solutions.com,,,,,,,,,
M.A. Polce Consulting,,,,https://mapolce.com,,,,,,,,,
Homefield IT (ManhattanTechSupport),,,,https://homefieldit.com,,,,,,,,,
IronEdge Group,,,,https://ironedgegroup.com,,,,,,,,,
American Technology Services (ATS),,,,https://networkats.com,,,,,,,,,
LTC Technology Systems,,,,https://ltcsystems.us,,,,,,,,,
TechProComp,,,,https://techprocomp.com,,,,,,,,,
Omega Systems,,,,https://omegasystemscorp.com,,,,,,,,,
"I-M Technology, LLC",,,,https://i-mtechnology.com,,,,,,,,,
Artemis IT,,,,https://artemisit.com,,,,,,,,,
Kalleo Technologies,,,,https://kalleo.net,,,,,,,,,
Pearl Solutions Group,,,,https://pearlsolves.com,,,,,,,,,
"CAL IT Group, Inc.",,,,https://calitgroup.com,,,,,,,,,
"Frontline, LLC",,,,https://frontline-it.com,,,,,,,,,
"Huber & Associates, Inc.",,,,https://huberassoc.com,,,,,,,,,
Nuvodia,,,,https://nuvodia.com,,,,,,,,,
Bytagig,,,,https://bytagig.com,,,,,,,,,
"BCA IT, Inc.",,,,https://bcait.com,,,,,,,,,
Tech Networks of Boston,,,,https://techboston.com,,,,,,,,,
Complete Network,,,,https://complete.network,,,,,,,,,
XL.net,,,,https://xl.net,,,,,,,,,
Cyber Advisors,,,,https://cyberadvisors.com,,,,,,,,,
Merit Technologies Corp,,,,https://merittechnologies.com,,,,,,,,,
"Daystar, Inc.",,,,https://daystarit.com,,,,,,,,,
K3 Technology,,,,https://k3techs.com,,,,,,,,,
Cortavo,,,,https://cortavo.com,,,,,,,,,
TruAdvantage,,,,https://truadvantage.com,,,,,,,,,
Bayshore Interactive,,,,https://bayshore.net,,,,,,,,,
Lockstep Technology Group,,,,https://lockstepgroup.com,,,,,,,,,
